student_id,roll,name,1(a) (CO1/5),1(b) (CO3/5),2 (CO2/10),3 (CO4/10),4 (CO5/10),5 (CO6/10),6 (CO4/10),total
S-001,210105001,Arif Hossain,4.0,4.0,8.0,5.0,6.0,10.0,6.0,43.0
S-002,210105002,Nabila Rahman,4.5,5.0,6.5,6.0,6.5,8.0,5.5,42.0
S-003,210105003,Sabbir Ahmed,5.0,4.5,9.5,5.5,5.5,7.0,7.0,44.0
S-004,210105004,Tasnim Akter,4.5,5.0,10.0,8.0,5.0,9.5,6.5,48.5
S-005,210105005,Rakib Islam,3.0,2.0,6.0,6.5,3.0,5.5,6.0,32.0
S-006,210105006,Mehjabin Chowdhury,4.5,4.5,9.5,7.5,8.0,10.0,5.0,49.0
S-007,210105007,Fahim Karim,4.0,2.5,6.5,5.5,4.5,4.5,2.5,30.0
S-008,210105008,Sumaiya Sultana,4.0,2.0,3.0,3.5,5.5,4.0,3.0,25.0
S-009,210105009,Nayeem Uddin,4.0,3.0,3.5,4.0,4.5,3.0,4.5,26.5
S-010,210105010,Ishrat Jahan,4.0,3.5,7.5,5.5,5.5,5.5,5.0,36.5
S-011,210105011,Zahid Hasan,4.0,3.0,5.0,4.5,5.0,5.0,3.5,30.0
S-012,210105012,Farhana Begum,4.5,4.0,9.0,8.0,5.0,9.5,6.0,46.0
S-013,210105013,Imran Ali,4.5,3.5,7.5,8.0,6.0,8.0,5.0,42.5
S-014,210105014,Nusaiba Noor,5.0,4.0,5.5,5.0,5.5,6.5,5.5,37.0
S-015,210105015,Shakib Mahmud,4.0,3.5,8.5,5.5,7.0,7.5,4.0,40.0
S-016,210105016,Anika Tabassum,3.5,3.5,5.5,4.0,4.0,5.0,2.5,28.0
S-017,210105017,Rifat Sarker,3.5,5.0,8.5,7.0,8.5,7.5,6.5,46.5
S-018,210105018,Maliha Haque,4.0,3.5,4.5,4.0,5.5,3.0,4.0,28.5
S-019,210105019,Tahmid Rashid,5.0,5.0,8.5,8.5,5.0,10.0,8.0,50.0
S-020,210105020,Rubaiya Ferdous,4.0,2.5,2.5,2.0,7.0,4.0,3.0,25.0
S-021,210105021,Sajid Alam,5.0,3.5,3.5,5.5,6.5,8.5,5.0,37.5
S-022,210105022,Nusrat Khatun,4.0,2.5,7.0,3.0,6.0,7.5,6.5,36.5
S-023,210105023,Adnan Bhuiyan,3.5,4.0,7.5,7.5,6.5,9.0,6.0,44.0
S-024,210105024,Samiha Mim,4.5,4.0,8.5,7.0,6.5,6.5,6.5,43.5
S-025,210105025,Hasib Reza,4.0,2.0,5.5,2.0,5.0,4.5,2.0,25.0
S-026,210105026,Jarin Nahar,5.0,3.5,8.5,8.0,3.5,8.5,3.0,40.0
S-027,210105027,Mahin Talukder,5.0,4.5,7.5,6.5,6.5,7.0,6.5,43.5
S-028,210105028,Raisa Anjum,4.5,4.0,8.0,5.5,4.0,6.5,5.0,37.5
S-029,210105029,Sifat Kabir,5.0,5.0,9.5,5.5,5.5,9.5,7.0,47.0
S-030,210105030,Oishi Das,4.5,3.5,6.0,3.0,5.5,4.5,4.5,31.5
